symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,State,Date first added,CIK,Founded,id,class,exchange,name,status,tradable,marginable,shortable,easy_to_borrow,fractionable
MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,Paradise, Nevada,7/26/2017,789570,1986,4eca36dd-edaf-4d57-a0cd-5ddce8c27679,us_equity,NYSE,MGM RESORTS INTERNATIONAL,active,TRUE,TRUE,TRUE,TRUE,TRUE
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,Paradise, Nevada,11/14/2008,1174922,2002,762eca63-f335-4d9c-bfc5-83607ad4d8e9,us_equity,NASDAQ,"Wynn Resorts, Limited Common stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
HPQ,HP Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals",Palo Alto, California,12/31/1974,47217,1939 (2015),8e341794-40b2-4509-bca8-c7b6fc49eb96,us_equity,NYSE,HP Inc.,active,TRUE,TRUE,TRUE,TRUE,TRUE
TSLA,"Tesla, Inc.",reports,Consumer Discretionary,Automobile Manufacturers,Palo Alto, California,12/21/2020,1318605,2003,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,us_equity,NASDAQ,"Tesla, Inc. Common Stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
CARR,Carrier Global,reports,Industrials,Building Products,Palm Beach Gardens, Florida,4/3/2020,1783180,2020 (1915),ca43f7b9-bc0c-4cd5-a930-a4c823be5bb7,us_equity,NYSE,Carrier Global Corporation,active,TRUE,TRUE,TRUE,TRUE,TRUE
IPGP,IPG Photonics Corp.,reports,Information Technology,Electronic Manufacturing Services,Oxford, Massachusetts,3/7/2018,1111928,1990,c36731fb-9b1b-4c84-8935-fe13bb764f72,us_equity,NASDAQ,IPG Photonics Corporation Common Stock,active,TRUE,TRUE,TRUE,TRUE,TRUE
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,Orrville, Ohio,11/6/2008,91419,1897,a08ed46f-696f-43fb-9b98-a2634646ad7a,us_equity,NYSE,The J.M. Smucker Company,active,TRUE,TRUE,TRUE,TRUE,TRUE
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,Orlando, Florida,,940944,1938,c7b69e61-c23f-4135-a113-8f4efe3e7d6e,us_equity,NYSE,"Darden Restaurants, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,Omaha, Nebraska,2/16/2010,1067983,1839,71bb19d0-6c5f-4881-9552-33224badd810,us_equity,NYSE,BERKSHIRE HATHAWAY Class B,active,TRUE,TRUE,TRUE,TRUE,TRUE
UNP,Union Pacific Corp,reports,Industrials,Railroads,Omaha, Nebraska,3/4/1957,100885,1862,e28f2c45-0bb1-45c1-84e0-f8d1a98c4088,us_equity,NYSE,Union Pacific Corp.,active,TRUE,TRUE,TRUE,TRUE,TRUE
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,Oklahoma City, Oklahoma,8/30/2000,1090012,1971,ab42bac7-0551-47fd-8f5b-3313142cb075,us_equity,NYSE,Devon Energy Corporation,active,TRUE,TRUE,TRUE,TRUE,TRUE
PAYC,Paycom,reports,Information Technology,Application Software,Oklahoma City, Oklahoma,1/28/2020,1590955,1998,8324782d-4e19-40f8-a484-5e9a2ce764c6,us_equity,NYSE,"PAYCOM SOFTWARE, INC.",active,TRUE,TRUE,TRUE,TRUE,TRUE
CLX,The Clorox Company,reports,Consumer Staples,Household Products,Oakland, California,3/31/1969,21076,1913,e546b55a-77d5-4e6c-b588-0aeaa20bd2b3,us_equity,NYSE,Clorox Company,active,TRUE,TRUE,TRUE,TRUE,TRUE
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,Norwood, Massachusetts,10/12/1999,6281,1965,e72fbd29-be6b-43c2-80c6-b6e80d5b23db,us_equity,NASDAQ,"Analog Devices, Inc. Common Stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
BKNG,Booking Holdings Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,Norwalk, Connecticut,11/6/2009,1075531,1996,c50070cd-18b4-4f29-ae0f-f192e4cc4553,us_equity,NASDAQ,Booking Holdings Inc. Common Stock,active,TRUE,TRUE,TRUE,TRUE,TRUE
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,Northfield Township, Illinois,7/13/1995,899051,1931,9f5ab4fb-335d-41ef-83d9-4d0abbd61fde,us_equity,NYSE,The Allstate Corporation,active,TRUE,TRUE,TRUE,TRUE,TRUE
